panel,method,failure_rate_percent,mean,population_sd
per_rate,router,0,0.55,
per_rate,router,10,0.4972,0.0142
per_rate,router,20,0.4389,0.0142
per_rate,router,30,0.3639,0.0258
per_rate,static,0,0.35,
per_rate,static,10,0.3361,0.0142
per_rate,static,20,0.325,0.0236
per_rate,static,30,0.3111,0.0322
per_rate,dynamic,0,0.4,
per_rate,dynamic,10,0.4111,0.0039
per_rate,dynamic,20,0.4139,0.0079
per_rate,dynamic,30,0.4083,0.0136
hard,router,0,0.3043,
hard,router,10,0.2681,0.0102
hard,router,20,0.2174,0.0355
hard,router,30,0.1812,0.041
hard,static,0,0.2174,
hard,static,10,0.1957,0.0177
hard,static,20,0.1667,0.041
hard,static,30,0.1667,0.041
hard,dynamic,0,0.3043,
hard,dynamic,10,0.2754,0.0102
hard,dynamic,20,0.2754,0.0102
hard,dynamic,30,0.2681,0.0205
