scenario,method,budget_tokens,mean,sample_sd
clean,router,600,0.325,
clean,router,800,0.4583,
clean,router,1000,0.5083,
clean,router,1200,0.525,
clean,router,1500,0.55,
clean,router,2000,0.55,
clean,router,2500,0.55,
clean,router,3000,0.55,
clean,static,600,0.0,
clean,static,800,0.0,
clean,static,1000,0.0333,
clean,static,1200,0.1333,
clean,static,1500,0.2083,
clean,static,2000,0.35,
clean,static,2500,0.35,
clean,static,3000,0.35,
clean,dynamic,600,0.0,
clean,dynamic,800,0.0,
clean,dynamic,1000,0.0,
clean,dynamic,1200,0.0,
clean,dynamic,1500,0.0417,
clean,dynamic,2000,0.2583,
clean,dynamic,2500,0.3417,
clean,dynamic,3000,0.3667,
fault20,router,600,0.2611,0.0048
fault20,router,800,0.3694,0.0096
fault20,router,1000,0.4139,0.0096
fault20,router,1200,0.425,0.0083
fault20,router,1500,0.4389,0.0173
fault20,router,2000,0.4389,0.0173
fault20,router,2500,0.4389,0.0173
fault20,router,3000,0.4389,0.0173
fault20,static,600,0.0,0.0
fault20,static,800,0.0,0.0
fault20,static,1000,0.0389,0.0048
fault20,static,1200,0.1306,0.0048
fault20,static,1500,0.1944,0.0096
fault20,static,2000,0.325,0.0289
fault20,static,2500,0.325,0.0289
fault20,static,3000,0.325,0.0289
fault20,dynamic,600,0.0,0.0
fault20,dynamic,800,0.0,0.0
fault20,dynamic,1000,0.0,0.0
fault20,dynamic,1200,0.0,0.0
fault20,dynamic,1500,0.0722,0.0048
fault20,dynamic,2000,0.2778,0.021
fault20,dynamic,2500,0.3444,0.0048
fault20,dynamic,3000,0.3833,0.0083
fault30,router,600,0.2167,0.0144
fault30,router,800,0.3139,0.0048
fault30,router,1000,0.3417,0.022
fault30,router,1200,0.35,0.022
fault30,router,1500,0.3639,0.0315
fault30,router,2000,0.3639,0.0315
fault30,router,2500,0.3639,0.0315
fault30,router,3000,0.3639,0.0315
fault30,static,600,0.0,0.0
fault30,static,800,0.0,0.0
fault30,static,1000,0.0417,0.0
fault30,static,1200,0.125,0.0083
fault30,static,1500,0.1833,0.0167
fault30,static,2000,0.3111,0.0394
fault30,static,2500,0.3111,0.0394
fault30,static,3000,0.3111,0.0394
fault30,dynamic,600,0.0,0.0
fault30,dynamic,800,0.0,0.0
fault30,dynamic,1000,0.0,0.0
fault30,dynamic,1200,0.0,0.0
fault30,dynamic,1500,0.0583,0.0083
fault30,dynamic,2000,0.2667,0.022
fault30,dynamic,2500,0.3278,0.0173
fault30,dynamic,3000,0.3778,0.0173
