query_id,dataset,task_type,q_Qwen2.5-3B,c_Qwen2.5-3B,t_Qwen2.5-3B,q_Qwen2.5-7B,c_Qwen2.5-7B,t_Qwen2.5-7B,q_Qwen2.5-14B,c_Qwen2.5-14B,t_Qwen2.5-14B,q_DS-R1-Distill-14B,c_DS-R1-Distill-14B,t_DS-R1-Distill-14B
gsm8k_test_0001,gsm8k,math,0.0,6.48e-05,3531.3,1.0,8.057e-05,5362.2,1.0,0.00022092,5406.1,1.0,0.00038374,13217.0
gsm8k_test_0002,gsm8k,math,1.0,4.508e-05,2762.6,1.0,3.976e-05,3045.3,1.0,0.00017976,4680.1,1.0,0.00030212,9290.6
gsm8k_test_0003,gsm8k,math,1.0,8.016e-05,4230.7,1.0,9.121e-05,6044.4,1.0,0.00032284,7871.8,1.0,0.00298774,114497.7
gsm8k_test_0004,gsm8k,math,1.0,5.31e-05,3079.4,1.0,4.851e-05,3517.1,1.0,0.00019404,4947.2,1.0,0.00039298,13135.9
gsm8k_test_0005,gsm8k,math,1.0,6.932e-05,3611.5,1.0,8.827e-05,5633.1,1.0,0.00031444,7299.4,1.0,0.0005873,19009.8
gsm8k_test_0006,gsm8k,math,1.0,7.218e-05,3887.2,1.0,7.49e-05,5044.0,1.0,0.0002772,6781.0,1.0,0.00044576,14634.4
gsm8k_test_0007,gsm8k,math,1.0,6.056e-05,3400.6,1.0,7.504e-05,5118.4,1.0,0.00023296,5841.5,1.0,0.00048412,17569.7
gsm8k_test_0008,gsm8k,math,0.0,0.00010756,5392.6,0.0,0.00010752,6979.4,1.0,0.00032228,7753.1,1.0,0.00045612,16636.4
gsm8k_test_0009,gsm8k,math,0.0,0.00011532,4660.4,1.0,0.0001547,8772.2,1.0,0.00035448,7278.1,1.0,0.00054432,20795.6
gsm8k_test_0010,gsm8k,math,1.0,6.934e-05,2758.4,1.0,9.058e-05,5043.0,1.0,0.00024808,5075.6,1.0,0.00036064,13943.6
gsm8k_test_0011,gsm8k,math,1.0,8.364e-05,3394.3,1.0,8.33e-05,4605.6,1.0,0.00027076,5594.1,1.0,0.00067032,38732.3
gsm8k_test_0012,gsm8k,math,1.0,8.548e-05,3449.7,1.0,0.00010045,5620.6,1.0,0.00025284,5133.1,1.0,0.00070966,26430.3
gsm8k_test_0013,gsm8k,math,0.0,0.00010342,4236.8,0.0,9.611e-05,5348.1,0.0,0.00030632,6361.7,0.0,0.00067858,25034.0
gsm8k_test_0014,gsm8k,math,1.0,0.00010992,4546.8,1.0,0.00012348,7069.5,1.0,0.00036848,7861.6,1.0,0.00062916,24877.7
gsm8k_test_0015,gsm8k,math,1.0,9.086e-05,3742.7,1.0,9.45e-05,5322.5,1.0,0.00036344,7772.4,1.0,0.00049336,19396.7
gsm8k_test_0016,gsm8k,math,1.0,0.0001024,4163.9,1.0,0.00010836,6001.3,0.0,0.00034412,7021.6,1.0,0.00055468,22178.9
gsm8k_test_0017,gsm8k,math,1.0,5.396e-05,2110.5,1.0,4.837e-05,2512.6,1.0,0.00017892,3482.8,1.0,0.00065478,27687.5
gsm8k_test_0018,gsm8k,math,1.0,6.812e-05,2764.1,1.0,9.324e-05,5236.3,1.0,0.00023828,4837.8,1.0,0.00081116,32982.4
gsm8k_test_0019,gsm8k,math,1.0,6.528e-05,2718.2,1.0,7.385e-05,4179.5,1.0,0.00019068,3894.4,1.0,0.00040054,17479.3
gsm8k_test_0020,gsm8k,math,1.0,9.494e-05,3920.2,1.0,0.00013265,7639.2,1.0,0.00037884,8076.2,1.0,0.00037646,13973.4
gsm8k_test_0021,gsm8k,math,0.0,0.00012606,5259.2,1.0,0.00011879,6787.4,1.0,0.0002968,6179.5,1.0,0.00106106,38834.9
gsm8k_test_0022,gsm8k,math,0.0,4.408e-05,1726.7,0.0,5.152e-05,2732.8,1.0,0.00022484,4569.7,1.0,0.00027188,9785.8
gsm8k_test_0023,gsm8k,math,1.0,4.11e-05,1564.3,1.0,6.307e-05,3401.9,1.0,0.00017444,3390.8,1.0,0.00030338,19080.0
gsm8k_test_0024,gsm8k,math,1.0,5.054e-05,2020.7,1.0,5.782e-05,3143.3,1.0,0.00021392,4422.0,1.0,0.00026376,8669.5
gsm8k_test_0025,gsm8k,math,1.0,4.894e-05,1925.1,1.0,5.523e-05,2994.5,1.0,0.00019936,4038.4,1.0,0.0003633,12438.0
gsm8k_test_0026,gsm8k,math,1.0,7.202e-05,2859.4,1.0,0.00010458,5895.6,1.0,0.00030828,6383.9,1.0,0.0005544,21141.6
gsm8k_test_0027,gsm8k,math,1.0,7.252e-05,2876.3,1.0,9.429e-05,5283.6,1.0,0.00028084,5732.0,1.0,0.00092078,34786.8
gsm8k_test_0028,gsm8k,math,1.0,7.434e-05,2962.7,1.0,8.575e-05,4794.4,1.0,0.000273,5624.0,1.0,0.00033418,12773.4
gsm8k_test_0029,gsm8k,math,1.0,6.368e-05,2521.1,1.0,5.628e-05,3018.6,1.0,0.00025116,5158.4,1.0,0.00035924,12729.1
gsm8k_test_0030,gsm8k,math,1.0,5.624e-05,2135.3,1.0,8.253e-05,4538.8,1.0,0.0001792,3365.8,1.0,0.00025606,8878.8
gsm8k_test_0031,gsm8k,math,1.0,0.00011824,4938.1,1.0,6.643e-05,3675.0,1.0,0.00028336,5983.7,1.0,0.0005873,21882.6
gsm8k_test_0032,gsm8k,math,1.0,6.908e-05,2707.3,1.0,9.835e-05,5510.9,1.0,0.00026908,5483.9,1.0,0.00044954,17022.9
gsm8k_test_0033,gsm8k,math,1.0,5.412e-05,2124.3,1.0,5.285e-05,2833.7,1.0,0.0001974,3950.8,1.0,0.0003983,15310.5
gsm8k_test_0034,gsm8k,math,1.0,6.936e-05,2826.5,1.0,7.483e-05,4199.8,1.0,0.00027188,5765.6,1.0,0.00044842,16320.3
gsm8k_test_0035,gsm8k,math,1.0,5.302e-05,2078.9,1.0,6.797e-05,3753.3,1.0,0.00022512,4596.1,1.0,0.00046382,16391.0
gsm8k_test_0036,gsm8k,math,1.0,6.864e-05,2743.8,1.0,6.342e-05,3422.9,1.0,0.00026348,5463.4,1.0,0.00048216,16745.2
gsm8k_test_0037,gsm8k,math,1.0,7.146e-05,2890.3,1.0,6.482e-05,3548.9,1.0,0.00026964,5658.4,1.0,0.00054488,19087.2
gsm8k_test_0038,gsm8k,math,0.0,8.492e-05,3442.1,0.0,0.00010031,5625.2,0.0,0.00032536,6868.6,1.0,0.00078162,29735.6
gsm8k_test_0039,gsm8k,math,1.0,7.058e-05,2876.7,1.0,7.098e-05,3922.9,1.0,0.00029652,6292.1,1.0,0.00082712,31796.4
gsm8k_test_0040,gsm8k,math,1.0,0.00014294,5966.8,1.0,0.00011501,6487.0,1.0,0.00035756,7543.3,1.0,0.00071078,27447.8
gsm8k_test_0041,gsm8k,math,1.0,5.672e-05,2260.5,1.0,6.426e-05,3526.1,1.0,0.00020076,4062.7,1.0,0.00033712,13603.7
gsm8k_test_0042,gsm8k,math,1.0,7.672e-05,2930.6,0.0,8.61e-05,4504.9,1.0,0.00025956,4932.9,1.0,0.00090216,33372.6
gsm8k_test_0043,gsm8k,math,1.0,5.372e-05,2031.6,1.0,6.916e-05,3653.7,1.0,0.00019712,3764.5,1.0,0.0002982,10889.0
gsm8k_test_0044,gsm8k,math,1.0,0.00011054,4565.8,1.0,0.00010381,5864.8,1.0,0.00033572,7082.3,1.0,0.00050806,18718.6
gsm8k_test_0045,gsm8k,math,1.0,7.542e-05,2990.2,1.0,0.00010661,5963.6,1.0,0.00027468,5551.7,1.0,0.00033838,12521.9
gsm8k_test_0046,gsm8k,math,1.0,0.00010746,4334.8,1.0,9.044e-05,4899.2,1.0,0.00029288,5885.1,1.0,0.00051604,19063.9
gsm8k_test_0047,gsm8k,math,0.0,4.586e-05,1653.3,1.0,9.128e-05,4969.2,1.0,0.00031052,6310.5,1.0,0.00052668,19172.9
gsm8k_test_0048,gsm8k,math,1.0,9.36e-05,3837.8,1.0,0.00012068,6959.3,1.0,0.00037212,8020.0,1.0,0.00062972,23218.3
gsm8k_test_0049,gsm8k,math,1.0,4.816e-05,1889.4,1.0,4.109e-05,2135.1,1.0,0.00017108,3346.3,1.0,0.00031822,11532.0
gsm8k_test_0050,gsm8k,math,1.0,6.304e-05,2506.5,1.0,6.531e-05,3594.3,1.0,0.00022904,4709.2,1.0,0.00051506,23629.3
