failure_type,action,deltaC_mean_tokens,deltaC_median_tokens,deltaT_mean_s,deltaT_median_s,missing_tokens,missing_dt
evidence,no_recovery,0.0,0,0.0,0.0,0,0
evidence,retry_same,266.4,242,0.307,0.306,0,0
evidence,switch_model,266.6,242,0.359,0.358,0,0
evidence,evidence_retrieval,2727.0,3250,3.198,2.549,0,0
evidence,local_decompose,2807.1,3393,3.471,3.402,0,0
reasoning,no_recovery,0.0,0,0.0,0.0,0,0
reasoning,retry_same,266.6,239,0.317,0.334,0,0
reasoning,switch_model,265.7,239,0.353,0.375,0,0
reasoning,evidence_retrieval,2056.2,1146,2.712,1.979,0,0
reasoning,local_decompose,2181.1,1289,3.585,3.197,0,0
structural,no_recovery,0.0,0.0,0.0,0.0,0,0
structural,retry_same,292.7,234.5,0.332,0.319,0,0
structural,switch_model,293.6,237.0,0.397,0.364,0,0
structural,evidence_retrieval,3600.3,3720.0,4.373,3.467,0,0
structural,local_decompose,3695.3,3832.0,4.849,4.502,0,0
