failure_type,action,n,rate,ci95_low,ci95_high,exceptions
evidence,no_recovery,61,0.0,0.0,0.0,0
evidence,retry_same,61,0.2623,0.1525,0.3833,0
evidence,switch_model,61,0.1967,0.0984,0.3051,0
evidence,evidence_retrieval,61,0.2459,0.1429,0.3667,0
evidence,local_decompose,61,0.2295,0.127,0.339,0
reasoning,no_recovery,61,0.0,0.0,0.0,0
reasoning,retry_same,61,0.2131,0.1148,0.3115,0
reasoning,switch_model,61,0.1967,0.0984,0.2951,0
reasoning,evidence_retrieval,61,0.1311,0.0492,0.2131,0
reasoning,local_decompose,61,0.1639,0.082,0.2623,0
structural,no_recovery,26,0.0,0.0,0.0,0
structural,retry_same,26,0.1923,0.0385,0.3462,0
structural,switch_model,26,0.1154,0.0,0.2308,0
structural,evidence_retrieval,26,0.1538,0.0385,0.3077,0
structural,local_decompose,26,0.0769,0.0,0.1923,0
