setting,dataset,model_count,method,wtp,quality,mean_cost
gsm8k_3,gsm8k,3,KNN (official),1e-10,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,KNN (official),1e-09,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,KNN (official),1e-08,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,KNN (official),1e-07,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,KNN (official),1e-06,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,KNN (official),1e-05,0.6049378355467646,0.0005265016953941792
gsm8k_3,gsm8k,3,KNN (official),0.0001,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),0.001,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),0.005,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),0.01,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),0.1,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),0.5,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),1.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),1.5,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),2.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),10.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),50.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),100.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),500.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),1000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),2000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),3000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),4000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),5000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),7500.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),10000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),25000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),50000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),75000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),100000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),1000000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),1000000000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),1e-10,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,MLP (official),1e-09,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,MLP (official),1e-08,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,MLP (official),1e-07,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,MLP (official),1e-06,0.5192851087877932,0.00026461398700197795
gsm8k_3,gsm8k,3,MLP (official),1e-05,0.6049378355467646,0.0005265016953941792
gsm8k_3,gsm8k,3,MLP (official),0.0001,0.6049378355467646,0.0005265016953941792
gsm8k_3,gsm8k,3,MLP (official),0.001,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),0.005,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),0.01,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),0.1,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),0.5,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),1.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),1.5,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),2.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),10.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),50.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),100.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),500.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),1000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),2000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),3000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),4000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),5000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),7500.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),10000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),25000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),50000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),75000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),100000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),1000000.0,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),1000000000.0,0.6590844871432608,0.008542276066685504
gsm8k_5,gsm8k,5,KNN (official),1e-10,0.507064142413111,0.0001585641141565414
gsm8k_5,gsm8k,5,KNN (official),1e-09,0.507064142413111,0.0001585641141565414
gsm8k_5,gsm8k,5,KNN (official),1e-08,0.507064142413111,0.0001585641141565414
gsm8k_5,gsm8k,5,KNN (official),1e-07,0.507064142413111,0.0001585641141565414
gsm8k_5,gsm8k,5,KNN (official),1e-06,0.507064142413111,0.0001585641141565414
gsm8k_5,gsm8k,5,KNN (official),1e-05,0.6049378355467646,0.0005265016953941792
gsm8k_5,gsm8k,5,KNN (official),0.0001,0.6621573890929641,0.006042675332014693
gsm8k_5,gsm8k,5,KNN (official),0.001,0.6621573890929641,0.006042675332014693
