setting,dataset,model_count,method,auc,quality,mean_cost
gsm8k_3,gsm8k,3,Best Single (train selected),,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,KNN (official),0.6297996831232802,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,MLP (official),0.6297996831232802,0.6590844871432608,0.008542276066685504
gsm8k_3,gsm8k,3,Oracle (per-query hindsight),,0.7158448714326081,
gsm8k_3,gsm8k,3,Random,,0.5916925685221814,0.0030235593953094092
gsm8k_3,gsm8k,3,Routing LogReg (R1 frozen),0.6471970011005125,,
gsm8k_5,gsm8k,5,Best Single (train selected),,0.6621573890929641,0.006042675332014693
gsm8k_5,gsm8k,5,KNN (official),0.6386743034871347,0.6621573890929641,0.006042675332014693
gsm8k_5,gsm8k,5,MLP (official),0.6386743034871347,0.6621573890929641,0.006042675332014693
gsm8k_5,gsm8k,5,Oracle (per-query hindsight),,0.7352006216445324,
gsm8k_5,gsm8k,5,Random,,0.5873834416501836,0.0031191474286521616
gsm8k_5,gsm8k,5,Routing LogReg (R1 frozen),0.6596117852637401,,
gsm8k_11,gsm8k,11,Best Single (train selected),,0.6621573890929641,0.006042675332014693
gsm8k_11,gsm8k,11,KNN (official),0.6446168951708279,0.6621573890929641,0.006042675332014693
gsm8k_11,gsm8k,11,MLP (official),0.6446168951708279,0.6621573890929641,0.006042675332014693
gsm8k_11,gsm8k,11,Oracle (per-query hindsight),,0.7493995478948856,
gsm8k_11,gsm8k,11,Random,,0.5589502684374117,0.0020013429268154847
gsm8k_11,gsm8k,11,Routing LogReg (R1 frozen),0.6702733894517676,,
mbpp_3,mbpp,3,Best Single (train selected),,0.687192118226601,0.009432536945812808
mbpp_3,mbpp,3,KNN (official),0.6699210327943044,0.687192118226601,0.009432536945812808
mbpp_3,mbpp,3,MLP (official),0.6447544861306796,0.6551724137931034,0.005828768472906404
mbpp_3,mbpp,3,Oracle (per-query hindsight),,0.8054187192118226,
mbpp_3,mbpp,3,Random,,0.6502463054187192,0.0031349773399014782
mbpp_3,mbpp,3,Routing LogReg (R1 frozen),0.7550773870363534,,
mbpp_5,mbpp,5,Best Single (train selected),,0.687192118226601,0.009432536945812808
mbpp_5,mbpp,5,KNN (official),0.6677540194781282,0.687192118226601,0.009432536945812808
mbpp_5,mbpp,5,MLP (official),0.6232886255687804,0.6428571428571429,0.005759396305418719
mbpp_5,mbpp,5,Oracle (per-query hindsight),,0.8423645320197044,
mbpp_5,mbpp,5,Random,,0.5714285714285714,0.0032371155172413795
mbpp_5,mbpp,5,Routing LogReg (R1 frozen),0.779386092557694,,
mbpp_11,mbpp,11,Best Single (train selected),,0.687192118226601,0.009432536945812808
mbpp_11,mbpp,11,KNN (official),0.6668284847169192,0.687192118226601,0.009432536945812808
mbpp_11,mbpp,11,MLP (official),0.6108151981902471,0.6354679802955665,0.004770566866995074
mbpp_11,mbpp,11,Oracle (per-query hindsight),,0.8694581280788177,
mbpp_11,mbpp,11,Random,,0.5517241379310345,0.002073178354679803
mbpp_11,mbpp,11,Routing LogReg (R1 frozen),0.8161403466646919,,
mmlu_3,mmlu,3,Best Single (train selected),,0.8119940029985008,0.0014301469265367314
mmlu_3,mmlu,3,KNN (official),0.7242366561295892,0.8095202398800599,0.001402138275862069
mmlu_3,mmlu,3,MLP (official),0.7204044210969673,0.7495502248875562,0.0008370009895052473
mmlu_3,mmlu,3,Oracle (per-query hindsight),,0.8837331334332834,
mmlu_3,mmlu,3,Random,,0.7011994002998501,0.000545755832083958
mmlu_3,mmlu,3,Routing LogReg (R1 frozen),0.8287992555137623,,
mmlu_5,mmlu,5,Best Single (train selected),,0.8119940029985008,0.0014301469265367314
mmlu_5,mmlu,5,KNN (official),0.718259808438605,0.8095202398800599,0.0014020187856071966
mmlu_5,mmlu,5,MLP (official),0.68350137674162,0.7197151424287856,0.0008492865517241379
mmlu_5,mmlu,5,Oracle (per-query hindsight),,0.9225637181409295,
mmlu_5,mmlu,5,Random,,0.6341079460269865,0.0005707687931034483
mmlu_5,mmlu,5,Routing LogReg (R1 frozen),0.8458116822443522,,
mmlu_11,mmlu,11,Best Single (train selected),,0.8119940029985008,0.0014301469265367314
mmlu_11,mmlu,11,KNN (official),0.7218817322454466,0.8080209895052474,0.001387007256371814
mmlu_11,mmlu,11,MLP (official),0.665541649325699,0.6941529235382309,0.0007266297301349325
mmlu_11,mmlu,11,Oracle (per-query hindsight),,0.9545727136431784,
mmlu_11,mmlu,11,Random,,0.48973013493253376,0.00041078126776611693
mmlu_11,mmlu,11,Routing LogReg (R1 frozen),0.8713916528116876,,
