task,dataset,method,accuracy,cost,latency,note
Math,math500,Random,0.62,7.29196e-05,,uniform coin seed 0
Math,math500,Best Single,0.68,0.00011339660000000001,,train-selected: Fin-R1
Math,math500,KNNRouter,0.68,0.00011339660000000001,,k=50 cosine; train acc 0.9206
Math,math500,MLPRouter,0.68,0.000111474,,official defaults; train acc 1.0000
Math,math500,Oracle,0.74,,,per-query max score
Code,mbpp,Random,0.5384615384615384,4.130082051282052e-05,,uniform coin seed 0
Code,mbpp,Best Single,0.6666666666666666,9.241353846153847e-05,,train-selected: Fin-R1
Code,mbpp,KNNRouter,0.6666666666666666,9.241353846153847e-05,,k=50 cosine; train acc 0.7706
Code,mbpp,MLPRouter,0.6461538461538462,7.703948717948717e-05,,official defaults; train acc 1.0000
Code,mbpp,Oracle,0.7025641025641025,,,per-query max score
Knowledge,mmlupro,Random,0.475,0.0001044015,,uniform coin seed 0
Knowledge,mmlupro,Best Single,0.54,0.0,,train-selected: cogito-v1-preview-llama-8B
Knowledge,mmlupro,KNNRouter,0.54,2.673e-07,,k=50 cosine; train acc 0.6432
Knowledge,mmlupro,MLPRouter,0.535,4.408240000000001e-05,,official defaults; train acc 1.0000
Knowledge,mmlupro,Oracle,0.64,,,per-query max score
