dataset,method,accuracy,cost,note
math500,Best Single,0.68,0.0001134,full-train selected: Fin-R1
math500,Oracle,0.74,,
math500,Random,0.6,4.77e-05,seed 0
math500,KNN (full train),0.68,0.0001134,k=50; predicted-score argmax
math500,MLP (full train),0.68,9.04e-05,"per-model score regression, official defaults"
math500,RewardMLP lam=0,0.68,9.04e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=1,0.68,9.04e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=10,0.68,9.04e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=100,0.68,9.04e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=1000,0.68,9.04e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=10000,0.68,9.04e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=100000,0.68,8.96e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=1e+06,0.68,8.93e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=1e+07,0.66,6.23e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,RewardMLP lam=1e+08,0.59,1.88e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
math500,LogReg P(strong>weak),0.53,0.0,"threshold .5, full train"
mbpp,Best Single,0.6667,9.24e-05,full-train selected: Fin-R1
mbpp,Oracle,0.7026,,
mbpp,Random,0.5385,5.2e-05,seed 0
mbpp,KNN (full train),0.6667,9.21e-05,k=50; predicted-score argmax
mbpp,MLP (full train),0.6103,5.44e-05,"per-model score regression, official defaults"
mbpp,RewardMLP lam=0,0.6103,5.44e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=1,0.6103,5.44e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=10,0.6103,5.44e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=100,0.6103,5.44e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=1000,0.6103,5.44e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=10000,0.6103,5.44e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=100000,0.6103,5.44e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=1e+06,0.6103,5.44e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=1e+07,0.6051,4.55e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,RewardMLP lam=1e+08,0.5692,2.25e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mbpp,LogReg P(strong>weak),0.4564,0.0,"threshold .5, full train"
mmlupro,Best Single,0.54,0.0,full-train selected: cogito-v1-preview-llama-8B
mmlupro,Oracle,0.64,,
mmlupro,Random,0.475,0.0001145,seed 0
mmlupro,KNN (full train),0.555,2.03e-05,k=50; predicted-score argmax
mmlupro,MLP (full train),0.51,8.11e-05,"per-model score regression, official defaults"
mmlupro,RewardMLP lam=0,0.51,8.11e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=1,0.51,8.11e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=10,0.51,8.11e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=100,0.51,8.11e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=1000,0.51,8.11e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=10000,0.51,8.11e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=100000,0.51,8.11e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=1e+06,0.515,7.66e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=1e+07,0.54,2.45e-05,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,RewardMLP lam=1e+08,0.545,5e-07,pred score - lam*scale*cost; prototype of Multi-objective Router
mmlupro,LogReg P(strong>weak),0.54,0.0,"threshold .5, full train"
